continent;make;fuel-type;aspiration;num-of-doors;body-style;drive-wheels;engine-location;engine-type;num-of-cylinders;fuel-system;bore;stroke;compression-ratio;horsepower;peak-rpm;city-mpg;highway-mpg;price;wheel-base;length;width;height;curb-weight;engine-size
asie;asie;gas;std;two;hatchback;rwd;front;ohcv;six;mpfi;3.43;3.27;9.00;160;5200;19;25;17199;91.30;170.70;67.90;49.70;3071;181
asie;asie;gas;turbo;two;hatchback;rwd;front;ohcv;six;mpfi;3.43;3.27;7.80;200;5200;17;23;19699;91.30;170.70;67.90;49.70;3139;181
asie;asie;gas;std;two;hatchback;rwd;front;ohcv;six;mpfi;3.43;3.27;9.00;160;5200;19;25;18399;99.20;178.50;67.90;49.70;3139;181
europe;peugot;gas;std;four;sedan;rwd;front;l;four;mpfi;3.46;3.19;8.40;97;5000;19;24;11900;107.90;186.70;68.40;56.70;3020;120
europe;peugot;diesel;turbo;four;sedan;rwd;front;l;four;idi;3.70;3.52;21.00;95;4150;28;33;13200;107.90;186.70;68.40;56.70;3197;152
europe;peugot;gas;std;four;wagon;rwd;front;l;four;mpfi;3.46;3.19;8.40;97;5000;19;24;12440;114.20;198.90;68.40;58.70;3230;120
europe;peugot;diesel;turbo;four;wagon;rwd;front;l;four;idi;3.70;3.52;21.00;95;4150;25;25;13860;114.20;198.90;68.40;58.70;3430;152
europe;peugot;gas;std;four;sedan;rwd;front;l;four;mpfi;3.46;2.19;8.40;95;5000;19;24;15580;107.90;186.70;68.40;56.70;3075;120
europe;peugot;diesel;turbo;four;sedan;rwd;front;l;four;idi;3.70;3.52;21.00;95;4150;28;33;16900;107.90;186.70;68.40;56.70;3252;152
europe;peugot;gas;std;four;wagon;rwd;front;l;four;mpfi;3.46;2.19;8.40;95;5000;19;24;16695;114.20;198.90;68.40;56.70;3285;120
europe;peugot;diesel;turbo;four;wagon;rwd;front;l;four;idi;3.70;3.52;21.00;95;4150;25;25;17075;114.20;198.90;68.40;58.70;3485;152
europe;peugot;gas;std;four;sedan;rwd;front;l;four;mpfi;3.46;3.19;8.40;97;5000;19;24;16630;107.90;186.70;68.40;56.70;3075;120
europe;peugot;diesel;turbo;four;sedan;rwd;front;l;four;idi;3.70;3.52;21.00;95;4150;28;33;17950;107.90;186.70;68.40;56.70;3252;152
europe;peugot;gas;turbo;four;sedan;rwd;front;l;four;mpfi;3.61;3.21;7.00;142;5600;18;24;18150;108.00;186.70;68.30;56.00;3130;134
USA;plymouth;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;2.97;3.23;9.40;68;5500;37;41;5572;93.70;157.30;63.80;50.80;1918;90
USA;plymouth;gas;turbo;two;hatchback;fwd;front;ohc;four;spdi;3.03;3.39;7.60;102;5500;24;30;7957;93.70;157.30;63.80;50.80;2128;98
USA;plymouth;gas;std;four;hatchback;fwd;front;ohc;four;2bbl;2.97;3.23;9.40;68;5500;31;38;6229;93.70;157.30;63.80;50.60;1967;90
USA;plymouth;gas;std;four;sedan;fwd;front;ohc;four;2bbl;2.97;3.23;9.40;68;5500;31;38;6692;93.70;167.30;63.80;50.80;1989;90
USA;plymouth;gas;std;four;sedan;fwd;front;ohc;four;2bbl;2.97;3.23;9.40;68;5500;31;38;7609;93.70;167.30;63.80;50.80;2191;98
USA;plymouth;gas;std;four;wagon;fwd;front;ohc;four;2bbl;3.35;3.46;8.50;88;5000;24;30;8921;103.30;174.60;64.60;59.80;2535;122
USA;plymouth;gas;turbo;two;hatchback;rwd;front;ohc;four;spdi;3.59;3.86;7.00;145;5000;19;24;12764;95.90;173.20;66.30;50.20;2818;156
europe;porsche;gas;std;two;hatchback;rwd;front;ohc;four;mpfi;3.94;3.11;9.50;143;5500;19;27;22018;94.50;168.90;68.30;50.20;2778;151
europe;porsche;gas;std;two;hardtop;rwd;rear;ohcf;six;mpfi;3.74;2.90;9.50;207;5900;17;25;32528;89.50;168.90;65.00;51.60;2756;194
europe;porsche;gas;std;two;hardtop;rwd;rear;ohcf;six;mpfi;3.74;2.90;9.50;207;5900;17;25;34028;89.50;168.90;65.00;51.60;2756;194
europe;porsche;gas;std;two;convertible;rwd;rear;ohcf;six;mpfi;3.74;2.90;9.50;207;5900;17;25;37028;89.50;168.90;65.00;51.60;2800;194
europe;saab;gas;std;two;hatchback;fwd;front;ohc;four;mpfi;3.54;3.07;9.31;110;5250;21;28;11850;99.10;186.60;66.50;56.10;2658;121
europe;saab;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.54;3.07;9.30;110;5250;21;28;12170;99.10;186.60;66.50;56.10;2695;121
europe;saab;gas;std;two;hatchback;fwd;front;ohc;four;mpfi;2.54;2.07;9.30;110;5250;21;28;15040;99.10;186.60;66.50;56.10;2707;121
europe;saab;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.54;3.07;9.30;110;5250;21;28;15510;99.10;186.60;66.50;56.10;2758;121
europe;saab;gas;turbo;two;hatchback;fwd;front;dohc;four;mpfi;3.54;3.07;9.00;160;5500;19;26;18150;99.10;186.60;66.50;56.10;2808;121
europe;saab;gas;turbo;four;sedan;fwd;front;dohc;four;mpfi;3.54;3.07;9.00;160;5500;19;26;18620;99.10;186.60;66.50;56.10;2847;121
asie;asie;gas;std;two;hatchback;fwd;front;ohcf;four;2bbl;3.62;2.36;9.00;69;4900;31;36;5118;93.70;156.90;63.40;53.70;2050;97
asie;asie;gas;std;two;hatchback;fwd;front;ohcf;four;2bbl;3.62;2.64;8.70;73;4400;26;31;7053;93.70;157.90;63.60;53.70;2120;108
asie;asie;gas;std;two;hatchback;4wd;front;ohcf;four;2bbl;3.62;2.64;8.70;73;4400;26;31;7603;93.30;157.30;63.80;55.70;2240;108
asie;asie;gas;std;four;sedan;fwd;front;ohcf;four;2bbl;3.62;2.64;9.50;82;4800;32;37;7126;97.20;172.00;65.40;52.50;2145;108
asie;asie;gas;std;four;sedan;fwd;front;ohcf;four;2bbl;3.62;2.64;9.50;82;4400;28;33;7775;97.20;172.00;65.40;52.50;2190;108
asie;asie;gas;std;four;sedan;fwd;front;ohcf;four;mpfi;3.62;2.64;9.00;94;5200;26;32;9960;97.20;172.00;65.40;52.50;2340;108
asie;asie;gas;std;four;sedan;4wd;front;ohcf;four;2bbl;3.62;2.64;9.00;82;4800;24;25;9233;97.00;172.00;65.40;54.30;2385;108
asie;asie;gas;turbo;four;sedan;4wd;front;ohcf;four;mpfi;3.62;2.64;7.70;111;4800;24;29;11259;97.00;172.00;65.40;54.30;2510;108
asie;asie;gas;std;four;wagon;fwd;front;ohcf;four;2bbl;3.62;2.64;9.00;82;4800;28;32;7463;97.00;173.50;65.40;53.00;2290;108
asie;asie;gas;std;four;wagon;fwd;front;ohcf;four;mpfi;3.62;2.64;9.00;94;5200;25;31;10198;97.00;173.50;65.40;53.00;2455;108
asie;asie;gas;std;four;wagon;4wd;front;ohcf;four;2bbl;3.62;2.64;9.00;82;4800;23;29;8013;96.90;173.60;65.40;54.90;2420;108
asie;asie;gas;turbo;four;wagon;4wd;front;ohcf;four;mpfi;3.62;2.64;7.70;111;4800;23;23;11694;96.90;173.60;65.40;54.90;2650;108
asie;toyota;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;3.05;3.03;9.00;62;4800;35;39;5348;95.70;158.70;63.60;54.50;1985;92
asie;toyota;gas;std;two;hatchback;fwd;front;ohc;four;2bbl;3.05;3.03;9.00;62;4800;31;38;6338;95.70;158.70;63.60;54.50;2040;92
asie;toyota;gas;std;four;hatchback;fwd;front;ohc;four;2bbl;3.05;3.03;9.00;62;4800;31;38;6488;95.70;158.70;63.60;54.50;2015;92
asie;toyota;gas;std;four;wagon;fwd;front;ohc;four;2bbl;3.05;3.03;9.00;62;4800;31;37;6918;95.70;169.70;63.60;59.10;2280;92
asie;toyota;gas;std;four;wagon;4wd;front;ohc;four;2bbl;3.05;3.03;9.00;62;4800;27;32;7898;95.70;169.70;63.60;59.10;2290;92
asie;toyota;gas;std;four;wagon;4wd;front;ohc;four;2bbl;3.05;3.03;9.00;62;4800;27;32;8778;95.70;169.70;63.60;59.10;3110;92
asie;toyota;gas;std;four;sedan;fwd;front;ohc;four;2bbl;3.19;3.03;9.00;70;4800;30;37;6938;95.70;166.30;64.40;53.00;2081;98
asie;toyota;gas;std;four;hatchback;fwd;front;ohc;four;2bbl;3.19;3.03;9.00;70;4800;30;37;7198;95.70;166.30;64.40;52.80;2109;98
asie;toyota;diesel;std;four;sedan;fwd;front;ohc;four;idi;3.27;3.35;22.50;56;4500;34;36;7898;95.70;166.30;64.40;53.00;2275;110
asie;toyota;diesel;std;four;hatchback;fwd;front;ohc;four;idi;3.27;3.35;22.50;56;4500;38;47;7788;95.70;166.30;64.40;52.80;2275;110
asie;toyota;gas;std;four;sedan;fwd;front;ohc;four;2bbl;3.19;3.03;9.00;70;4800;38;47;7738;95.70;166.30;64.40;53.00;2094;98
asie;toyota;gas;std;four;hatchback;fwd;front;ohc;four;2bbl;3.19;3.03;9.00;70;4800;28;34;8358;95.70;166.30;64.40;52.80;2122;98
asie;toyota;gas;std;four;sedan;fwd;front;ohc;four;2bbl;3.19;3.03;9.00;70;4800;28;34;9258;95.70;166.30;64.40;52.80;2140;98
asie;toyota;gas;std;two;sedan;rwd;front;ohc;four;2bbl;3.19;3.03;9.00;70;4800;29;34;8058;94.50;168.70;64.00;52.60;2169;98
asie;toyota;gas;std;two;hatchback;rwd;front;ohc;four;2bbl;3.19;3.03;9.00;70;4800;29;34;8238;94.50;168.70;64.00;52.60;2204;98
asie;toyota;gas;std;two;sedan;rwd;front;dohc;four;mpfi;3.24;3.08;9.40;112;6600;26;29;9298;94.50;168.70;64.00;52.60;2265;98
asie;toyota;gas;std;two;hatchback;rwd;front;dohc;four;mpfi;3.24;3.08;9.40;112;6600;26;29;9538;94.50;168.70;64.00;52.60;2300;98
asie;toyota;gas;std;two;hardtop;rwd;front;ohc;four;mpfi;3.62;3.50;9.30;116;4800;24;30;8449;98.40;176.20;65.60;52.00;2540;146
asie;toyota;gas;std;two;hardtop;rwd;front;ohc;four;mpfi;3.62;3.50;9.30;116;4800;24;30;9639;98.40;176.20;65.60;52.00;2536;146
asie;toyota;gas;std;two;hatchback;rwd;front;ohc;four;mpfi;3.62;3.50;9.30;116;4800;24;30;9989;98.40;176.20;65.60;52.00;2551;146
asie;toyota;gas;std;two;hardtop;rwd;front;ohc;four;mpfi;3.62;3.50;9.30;116;4800;24;30;11199;98.40;176.20;65.60;52.00;2679;146
asie;toyota;gas;std;two;hatchback;rwd;front;ohc;four;mpfi;3.62;3.50;9.30;116;4800;24;30;11549;98.40;176.20;65.60;52.00;2714;146
asie;toyota;gas;std;two;convertible;rwd;front;ohc;four;mpfi;3.62;3.50;9.30;116;4800;24;30;17669;98.40;176.20;65.60;53.00;2975;146
asie;toyota;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.31;3.54;8.70;92;4200;29;34;8948;102.40;175.60;66.50;54.90;2326;122
asie;toyota;diesel;turbo;four;sedan;fwd;front;ohc;four;idi;3.27;3.35;22.50;73;4500;30;33;10698;102.40;175.60;66.50;54.90;2480;110
asie;toyota;gas;std;four;hatchback;fwd;front;ohc;four;mpfi;3.31;3.54;8.70;92;4200;27;32;9988;102.40;175.60;66.50;53.90;2414;122
asie;toyota;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.31;3.54;8.70;92;4200;27;32;10898;102.40;175.60;66.50;54.90;2414;122
asie;toyota;gas;std;four;hatchback;fwd;front;ohc;four;mpfi;3.31;3.54;8.70;92;4200;27;32;11248;102.40;175.60;66.50;53.90;2458;122
asie;toyota;gas;std;two;hatchback;rwd;front;dohc;six;mpfi;3.27;3.35;9.30;161;5200;20;24;16558;102.90;183.50;67.70;52.00;2976;171
asie;toyota;gas;std;two;hatchback;rwd;front;dohc;six;mpfi;3.27;3.35;9.30;161;5200;19;24;15998;102.90;183.50;67.70;52.00;3016;171
asie;toyota;gas;std;four;sedan;rwd;front;dohc;six;mpfi;3.27;3.35;9.20;156;5200;20;24;15690;104.50;187.80;66.50;54.10;3131;171
asie;toyota;gas;std;four;wagon;rwd;front;dohc;six;mpfi;3.27;3.35;9.20;156;5200;19;24;15750;104.50;187.80;66.50;54.10;3151;161
europe;volkswagen;diesel;std;two;sedan;fwd;front;ohc;four;idi;3.01;3.40;23.00;52;4800;37;46;7775;97.30;171.70;65.50;55.70;2261;97
europe;volkswagen;gas;std;two;sedan;fwd;front;ohc;four;mpfi;3.19;3.40;9.00;85;5250;27;34;7975;97.30;171.70;65.50;55.70;2209;109
europe;volkswagen;diesel;std;four;sedan;fwd;front;ohc;four;idi;3.01;3.40;23.00;52;4800;37;46;7995;97.30;171.70;65.50;55.70;2264;97
europe;volkswagen;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.19;3.40;9.00;85;5250;27;34;8195;97.30;171.70;65.50;55.70;2212;109
europe;volkswagen;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.19;3.40;9.00;85;5250;27;34;8495;97.30;171.70;65.50;55.70;2275;109
europe;volkswagen;diesel;turbo;four;sedan;fwd;front;ohc;four;idi;3.01;3.40;23.00;68;4500;37;42;9495;97.30;171.70;65.50;55.70;2319;97
europe;volkswagen;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.19;3.40;10.00;100;5500;26;32;9995;97.30;171.70;65.50;55.70;2300;109
europe;volkswagen;gas;std;two;convertible;fwd;front;ohc;four;mpfi;3.19;3.40;8.50;90;5500;24;29;11595;94.50;159.30;64.20;55.60;2254;109
europe;volkswagen;gas;std;two;hatchback;fwd;front;ohc;four;mpfi;3.19;3.40;8.50;90;5500;24;29;9980;94.50;165.70;64.00;51.40;2221;109
europe;volkswagen;gas;std;four;sedan;fwd;front;ohc;five;mpfi;3.19;3.40;8.50;110;5500;19;24;13295;100.40;180.20;66.90;55.10;2661;136
europe;volkswagen;diesel;turbo;four;sedan;fwd;front;ohc;four;idi;3.01;3.40;23.00;68;4500;33;38;13845;100.40;180.20;66.90;55.10;2579;97
europe;volkswagen;gas;std;four;wagon;fwd;front;ohc;four;mpfi;3.19;3.40;9.00;88;5500;25;31;12290;100.40;183.10;66.90;55.10;2563;109
europe;volvo;gas;std;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;23;28;12940;104.30;188.80;67.20;56.20;2912;141
europe;volvo;gas;std;four;wagon;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;23;28;13415;104.30;188.80;67.20;57.50;3034;141
europe;volvo;gas;std;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;24;28;15985;104.30;188.80;67.20;56.20;2935;141
europe;volvo;gas;std;four;wagon;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;24;28;16515;104.30;188.80;67.20;57.50;3042;141
europe;volvo;gas;turbo;four;sedan;rwd;front;ohc;four;mpfi;3.62;3.15;7.50;162;5100;17;22;18420;104.30;188.80;67.20;56.20;3045;130
europe;volvo;gas;turbo;four;wagon;rwd;front;ohc;four;mpfi;3.62;3.15;7.50;162;5100;17;22;18950;104.30;188.80;67.20;57.50;3157;130
europe;volvo;gas;std;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;23;28;16845;109.10;188.80;68.90;55.50;2952;141
europe;volvo;gas;turbo;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;8.70;160;5300;19;25;19045;109.10;188.80;68.80;55.50;3049;141
europe;volvo;gas;std;four;sedan;rwd;front;ohcv;six;mpfi;3.58;2.87;8.80;134;5500;18;23;21485;109.10;188.80;68.90;55.50;3012;173
europe;volvo;diesel;turbo;four;sedan;rwd;front;ohc;six;idi;3.01;3.40;23.00;106;4800;26;27;22470;109.10;188.80;68.90;55.50;3217;145
europe;volvo;gas;turbo;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;19;25;22625;109.10;188.80;68.90;55.50;3062;141
